Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Chemical_and_Genetic_pertubation	GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	596	96	0.00032375500710587915	0.011021020963542402	SH3BGRL3:MYCBP:AK4:DBT:S100A13:CD84:ZNF281:RASSF5:LPGAT1:EXOC8:PPIF:LDB3:PDLIM1:MARVELD1:NANOS1:BET1L:AHNAK:ROM1:NUDT22:RAD9A:DGAT2:ENDOD1:SPA17:ACAD8:CD27:RAP2A:ANKRD10:FBXO33:PGF:GSTZ1:ZFYVE21:CHAC1:SORD:STARD5:ROGDI:DEXI:GDE1:SEPHS2:RBL2:CENPT:TRAF4:LASP1:PCTP:ARMC7:UBALD2:TMC6:NPTX1:POLRMT:SMIM7:PPP1R37:PCYOX1:MCEE:RNF181:BCL2L11:PRKRA:STK17B:TUBA4A:ANGPT4:MX1:IFT27:GTSE1:HIGD1A:TMEM158:TREX1:TWF2:ACOX2:CPOX:ATG3:SLC35A5:RAP2B:MXD4:PSAPL1:PDLIM5:IL15:ETFDH:BRIX1:MXD3:HSPA1B:DAXX:SRF:VEGFA:PTP4A1:GLCCI1:ZNRF2:POM121C:ALKBH4:OPN1SW:AGPAT5:TP53INP1:FAM83H:STOML2:ENDOG:DOLK:SDCCAG3:C9orf169:CXorf40A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP
Chemical_and_Genetic_pertubation	KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN	45	14	0.00033122976288029143	0.011160415071742064	CTSS:NAP1L1:PFN1:ELOF1:RPS5:ZFP36L2:RPL31:SIAH2:BDH1:CKMT2:GNB2L1:HCP5:PM20D2:RPL7A	http://www.gsea-msigdb.org/gsea/msigdb/cards/KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN
Chemical_and_Genetic_pertubation	LIU_COMMON_CANCER_GENES	61	17	0.0003489245636895278	0.011582880092546158	DBT:ANAPC16:RPL41:TMBIM4:TMBIM4:F7:PGF:PRR11:LRRFIP1:NOP56:GTSE1:LIMD1:SERP1:OCIAD1:HNRNPDL:RPL34:GPBP1:RAB11FIP1	http://www.gsea-msigdb.org/gsea/msigdb/cards/LIU_COMMON_CANCER_GENES
Chemical_and_Genetic_pertubation	ONKEN_UVEAL_MELANOMA_DN	524	86	0.0003507837702164191	0.011582880092546158	RPL5:SLC16A1:RPL29P7:ITPKB:WAC:PTEN:GSTP1:JAM3:CREBL2:CTDSP2:NAP1L1:BTG1:ERP29:POLR1D:RPL36AL:BAG5:SYNM:DNAJA2:NUDT21:RPL13:TOM1L1:PRKAR1A:SLC9A3R1:RPS9:ZSCAN18:RPS5:ID2:VAMP8:RMND5A:RPL31:MZT2B:GCA:RPL27AP:HNRNPA1P3:ZNF217:TRIOBP:ARL8B:RPL32:RPL15:RARB:CMTM6:RPSA:RPL14:SNRK:NCKIPSD:RPL29:ARF4:RYBP:RPL24:ATG3:SLC35A5:GTPBP8:NAA50:H1FX:MBD4:RNF7:SERP1:MBNL1:TIPARP:SEC62:NDUFB5:C4orf19:TLR1:USP46:HNRNPDL:CCRN4L:RPS14:DUSP22:FARS2:TXNDC5:NOL7:ZSCAN12:MRPS18B:C6orf48:RPL10A:KLHDC3:PTP4A1:FOXO3:MARCKS:LSM5:PCLO:TRIP6:CAV2:RAB11FIP1:SPIN1:CETN2	http://www.gsea-msigdb.org/gsea/msigdb/cards/ONKEN_UVEAL_MELANOMA_DN
Chemical_and_Genetic_pertubation	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	628	100	0.0003725550205341995	0.012088896106579839	LINC01134:SH3BGRL3:WASF2:LEPROT:ENSA:HNRNPU-AS1:HNRNPU:ZNF33A:SRGN:ANAPC16:SAMD8:PTEN:IFIT5:BNIP3:NEAT1:SUV420H1:SIAE:LYRM5:IKBIP:N4BP2L2:COMMD6:CLDN10:SPTSSA:KLHL28:SAV1:ARG2:GABPB1-AS1:C16orf45:LONP2:RBL2:HERPUD1:RPL13:EIF4A1:NUFIP2:TEFM:RNF135:MRPL10:PRKAR1A:SNHG16:ST6GALNAC2:SOCS3:NPTX1:P4HB:ENOSF1:LINC00667:RNF125:SERPINB4:ZBTB7A:ZNF493:AHSA2:SERTAD2:MCEE:TTC31:C2orf68:RPL31:BCL2L11:CCNT2:CYBRD1:NABP1:SGPP2:D2HGDH:FKBP1A:MMP24-AS1:SRSF6:DNAJC5:BACH1:SLC5A3:SLC5A3:KDELR3:FAM118A:RPL15:RYBP:TIMMDC1:IL20RB:MAP3K13:SMIM14:TMEM165:C4orf3:RPL37:GUSBP3:GLRX:KIAA0141:HLA-F:HLA-B:TAPBP:VEGFA:PTP4A1:EEF1A1:PNRC1:ZDHHC4:HNRNPA2B1:PSPH:POM121:GATAD1:NAMPT:BNIP3L:PCMTD1:PAG1:ZHX2:SLC1A1:DCAF10:AUH	http://www.gsea-msigdb.org/gsea/msigdb/cards/NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN
Chemical_and_Genetic_pertubation	BENPORATH_MYC_TARGETS_WITH_EBOX	229	44	0.0003734304672535262	0.012088896106579839	STMN1:LBR:PTEN:RHOG:AMPD3:GSTP1:SNORD14C:FOXM1:CCND2:GAPDH:PLK1:HERPUD1:CFDP1:EIF4A1:RPL23A:RPL19:BCL2:RPS15:LMNB2:UBA52:CEBPA:ZNF146:RPS19:BBC3:BCL2L12:ZFP36L2:DBI:ACO2:VHL:RARB:ARF4:EIF5A2:PAICS:HNRNPDL:SRD5A1:SNHG5:ACTB:HNRNPA2B1:RPS6:TXN:SURF6:PDHA1:ELK1:RBM3	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_MYC_TARGETS_WITH_EBOX
Chemical_and_Genetic_pertubation	GOLDRATH_ANTIGEN_RESPONSE	353	62	0.0003799942865546787	0.012181952759257757	STMN1:ATPIF1:CDKN2C:S100A13:BATF3:IL2RA:CISD1:IFITM3:AHNAK:ROM1:CDCA5:TMEM126A:SDHD:SDHD:RAD51AP1:GAPDH:TPI1:CDK2AP1:IGHV1-18:POLR3K:PLK1:IRF8:UNC119:CCL4:PSMC3IP:LRRC59:KPNA2:TK1:GADD45B:LYL1:PGLYRP1:ID2:CENPA:RHOQ:DBI:PCNA:GCAT:NHP2L1:GTSE1:CPOX:CCDC50:SGCB:IGJ:C4orf3:HMGB2:DHFR:GLRX:ELL2:REEP5:TMED7:MXD3:KIFC1:C6orf89:ABRACL:RPA3:SNX10:MDFIC:GGH:CKS2:TXN:RBM3:WBP5:SLC25A53	http://www.gsea-msigdb.org/gsea/msigdb/cards/GOLDRATH_ANTIGEN_RESPONSE
Chemical_and_Genetic_pertubation	KRIEG_HYPOXIA_NOT_VIA_KDM3A	741	115	0.00039307343700207295	0.012407844686485864	TUBB8P11:FBXO42:SLC2A1:RAB3B:AK4:SLC16A1:GAPDHP23:SLC39A1:EFNA3:EFNA3:IER5:VIM:WAC:FUT11:SCD:DPCD:BNIP3:LDHA:SLC3A2:C11orf95:CDCA5:RNF169:FOXM1:GAPDH:TPI1:GPRC5A:DYRK2:SLC35E3:IKBIP:GLTP:RHOF:CDK2AP1:N4BP2L2:RAP2A:ANKRD10:NFKBIA:SAV1:PIGH:RAB42P1:CALM1:PDIA3:IMP3:CHSY1:PAGR1:PAGR1:ELP5:ALKBH5:PRR11:UBALD2:TK1:ENOSF1:FAM210A:CABLES1:RNF126:MFSD12:C19orf66:SERTAD2:C2orf15:C2ORF15:TUBA4A:MYBL2:BACH1:IFNAR1:IFNGR2:MRPS6:PTTG1IP:ITGB2:BID:CRKL:KIAA1671:APOL2:CDC42EP1:TRIOBP:PANX2:TREX1:NCKIPSD:RBM15B:RYBP:GBE1:FAM162A:TSC22D2:SIAH2:TIPARP:HNRNPDL:SAP30:DHFR:ELL2:STARD4:TNFAIP8:SLC22A5:TNIP1:BTN2A2:POU5F1:KIFC1:SNHG5:PNRC1:UBE2J1:PBOV1:MTHFD1L:WTAP:ZNF655:TES:INSIG1:AGPAT5:PPP3CC:BNIP3L:ZHX2:POU5F1B:FAM83H:PPP1R16A:SLC1A1:CCDC107:NEK6:TUBB4B:AP1S2:ACTG1P10:UPRT:TMSB15B	http://www.gsea-msigdb.org/gsea/msigdb/cards/KRIEG_HYPOXIA_NOT_VIA_KDM3A
Chemical_and_Genetic_pertubation	CAIRO_HEPATOBLASTOMA_CLASSES_UP	607	97	0.00039935573050226697	0.012407844686485864	MYCBP:UQCRH:AK4:RPL5:PRDX6:PDSS1:BUB3:EIF3F:RPS3:TAF1D:RAD51AP1:TPI1:EMG1:SLC25A3:RPLP0:SRSF9:PSMB5:TIMM9:MNAT1:DLST:SPTLC2:CDCA4:RPL4:MLST8:PLK1:NIP7:APRT:C1QBP:EIF4A1:RPL19:LRRC59:SRSF1:KPNA2:MRPS7:P4HB:TXNL4A:RNF126:NR2F6:RPS16:ATP5SL:KDELR1:RPL18:RPS9:C2orf43:CENPA:EPCAM:FAM136A:DGUOK:GCFC2:METTL8:OLA1:HNRNPA3:RPL37A:THAP4:NOP56:SNX5:EIF2S2:UBE2C:TPD52L2:SMARCB1:MIF:NHP2L1:TRMU:RPL15:RPL14:RPL24:NCBP2:HMGB2:SLCO4C1:RPS14:THG1L:NHP2:GNB2L1:EEF1E1:NOL7:MRPS18B:LSM2:C6orf48:RPL10A:POLR1C:CD164:CBX3:GGCT:PSPH:CHCHD2:POP7:CALU:AGPAT5:MRPL15:UQCRB:PTP4A3:EEF1D:EXOSC4:RPL8:RPS6:STOML2:CKS2	http://www.gsea-msigdb.org/gsea/msigdb/cards/CAIRO_HEPATOBLASTOMA_CLASSES_UP
Chemical_and_Genetic_pertubation	CHEN_HOXA5_TARGETS_9HR_UP	223	43	0.0003995832392515073	0.012407844686485864	SRSF10:RBM15:LRIF1:SCYL3:ARID4B:WAC:DUSP5:ZNF195:SUV420H1:TAF1D:TDG:THSD1:NFKBIA:VCPKMT:EIF5:CHAC1:ARIH1:ZNF267:ZNF23:GADD45B:ZNF426:CEBPG:ZNF155:ZNF227:ZNF432:ZNF468:KRCC1:CCNT2:SNX5:BACH1:RYBP:TSC22D2:TIPARP:PPWD1:FEM1C:EGR1:SOX30:BTN2A1:VEGFA:FOXO3:ZNF107:DNAJC2:TNFRSF10B	http://www.gsea-msigdb.org/gsea/msigdb/cards/CHEN_HOXA5_TARGETS_9HR_UP
Chemical_and_Genetic_pertubation	WANG_RESPONSE_TO_FORSKOLIN_UP	22	9	0.0004020712845105958	0.012407844686485864	ELK4:DYNLL2:NGLY1:BMPR1B:SPCS3:UBE2J1:TRGC2:INSIG1:MMP16	http://www.gsea-msigdb.org/gsea/msigdb/cards/WANG_RESPONSE_TO_FORSKOLIN_UP
Chemical_and_Genetic_pertubation	STEIN_ESRRA_TARGETS	527	86	0.00042252653317236205	0.012918357523473513	GLTPD1:MMACHC:LRRC41:SLC16A1:KIAA0040:TIMM17A:PDSS1:CISD1:PPIF:ACADSB:AMPD3:HTATIP2:FANCF:PDHX:MRPL11:FDX1:SDHD:SDHD:SLC37A4:LPCAT3:RAB21:NAP1L1:SLC25A3:ISCU:RHOF:DLST:SPTLC2:ZNF768:P2RX5:ELP5:HEXIM1:PCTP:TMC6:ZNF750:UQCRFS1:EIF3K:MRPS12:ZNF134:RHOQ:DGUOK:IMMT:ZNF514:STEAP3:THAP4:TMX4:IFT27:ACO2:HIGD1A:TWF2:GTPBP8:FAM162A:MBD4:NDUFB5:MXD4:ADRA2C:C4orf19:ETFDH:CKMT2:TNFAIP8:GM2A:TRIM52:DUSP22:NQO2:RP11-420L9.4:FAM50B:DAXX:VEGFA:MARCKS:RALA:COA1:GATAD1:CAV2:CALU:GSTK1:TNFRSF10B:MRPL15:RBM12B:UQCRB:CAAP1:ISCA1:TRIM14:NDUFA8:ZBTB43:ENDOG:LINC00094:PRPS2:PDHA1:TIMM8A	http://www.gsea-msigdb.org/gsea/msigdb/cards/STEIN_ESRRA_TARGETS
Chemical_and_Genetic_pertubation	HOLLMANN_APOPTOSIS_VIA_CD40_DN	265	49	0.00045640156137504714	0.013826036290462439	LRIF1:CD58:ZBTB18:VIM:PCBD1:LDB3:PDLIM1:UROS:ZNF195:FANCF:PPP1CA:IFFO1:RP11-785H5.1:ANKRD10:RNASE6:RPL36AL:MGAT2:SAV1:TIMM9:LINC00341:SYNE3:TCL1A:GOSR1:HOXB7:PCTP:C2orf43:MX2:IGLL3P:CRELD2:SUCLG2:CPOX:ELOVL6:SUB1:ACOT13:BTN3A3:HLA-F:HLA-B:HCP5:TAP2:TAP2:PSMB9:NUPL2:PSPH:TRIP6:TES:ZC3HAV1:TRAM1:EEF1D:RPL8:LINC00094:ARMCX6	http://www.gsea-msigdb.org/gsea/msigdb/cards/HOLLMANN_APOPTOSIS_VIA_CD40_DN
Chemical_and_Genetic_pertubation	STEIN_ESRRA_TARGETS_UP	384	66	0.0004649244674357898	0.013956187195208889	GLTPD1:MMACHC:SLC16A1:KIAA0040:TIMM17A:PDSS1:CISD1:PPIF:ACADSB:AMPD3:HTATIP2:FANCF:PDHX:MRPL11:FDX1:SDHD:SDHD:LPCAT3:RAB21:SLC25A3:ISCU:RHOF:DLST:SPTLC2:ZNF768:ELP5:PCTP:TMC6:ZNF750:UQCRFS1:EIF3K:MRPS12:RHOQ:IMMT:STEAP3:THAP4:TMX4:IFT27:ACO2:HIGD1A:TWF2:GTPBP8:FAM162A:NDUFB5:C4orf19:ETFDH:CKMT2:GM2A:TRIM52:DUSP22:NQO2:RP11-420L9.4:FAM50B:VEGFA:RALA:COA1:CALU:GSTK1:MRPL15:UQCRB:CAAP1:ISCA1:TRIM14:NDUFA8:ZBTB43:ENDOG:PDHA1:TIMM8A	http://www.gsea-msigdb.org/gsea/msigdb/cards/STEIN_ESRRA_TARGETS_UP
Chemical_and_Genetic_pertubation	LU_EZH2_TARGETS_UP	286	52	0.0004720994049212739	0.014043894009459879	ISG15:ENSA:S100A4:S100A13:ECHDC3:IFIT3:RHOF:C15orf57:FAM195A:AMDHD2:PAGR1:PAGR1:PARD6A:PSMB10:RPAIN:CD68:CENPV:TLCD1:RAD51D:ARL17B:SKA2:TRIM47:CFD:OCEL1:CLDND2:TRAPPC12:LINC00152:WASH2P:HNRNPA3:ZCCHC3:AL034548.1:ZNF133:TRIOBP:ACO2:CYB561D2:XXcos-LUCA11.4:BEND4:ISCA1P1:REEP5:C6orf48:PSMB9:PFDN6:C6orf226:KLHDC3:ADAP1:STYXL1:ZP3:TRIP6:TES:RARRES2:MAFA:CCDC107:NDUFA8:CDK9:ENDOG	http://www.gsea-msigdb.org/gsea/msigdb/cards/LU_EZH2_TARGETS_UP
Chemical_and_Genetic_pertubation	CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN	172	35	0.00047888826896145723	0.014118652358131534	STMN1:AK4:S100A4:RP11-18I14.10:POLR2L:LDHA:GDF11:SPTSSA:PLK1:APRT:TRAPPC6A:CENPA:DBI:TMX4:UBE2C:TMEM158:H1FX:EXOSC9:HMGB2:DHFR:NREP:GM2A:NHP2:LINC00847:LSM2:KIFC1:HMGN3:BCKDHB:MARCKS:RPA3:INSIG1:IL7:SLC1A1:NDUFB6:DNASE1L1	http://www.gsea-msigdb.org/gsea/msigdb/cards/CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN
Chemical_and_Genetic_pertubation	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	281	51	0.0005546901481905611	0.016125545301932605	TNFRSF14:E2F2:LRRC41:CDKN2C:DNAJB4:CD58:TRAF3IP3:DESI2:CELF2:SCD:SLC3A2:POU2AF1:CCND2:TAPBPL:OAS2:ELF1:LINC00341:SYNE3:EIF5:CHAC1:HERPUD1:PSMB10:IRF8:P2RX5:LIMD2:BCL2:CEBPG:SRSF7:EPCAM:SLC1A4:MYBL2:CBR3:XBP1:NOL12:UBE2E1:SUCLG2:FAIM:MBNL1:ST6GAL1:IGJ:SLC7A11:LRP2BP:TXNDC5:HSPA1B:C6orf48:VEGFA:UBE2J1:ZHX2:CDKN2A:SLC25A51:RBM3:CLIC2	http://www.gsea-msigdb.org/gsea/msigdb/cards/HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN
Chemical_and_Genetic_pertubation	OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP	344	60	0.0005602167774374609	0.016125545301932605	CRYZ:SLC25A44:SCYL3:MRPS14:TROVE2:TIMM17A:ELK4:LPGAT1:FBXO28:LBR:GPR137B:CHML:ZBTB18:HNRNPU-AS1:HNRNPU:ZNF672:PCBD1:SDHD:SDHD:SPTSSA:SERPINA6:LCMT2:RNMTL1:MED31:FXR2:LRRC37A4P:AQP4:ZNF562:SMIM7:ZNF507:ZNF146:ZNF155:ZNF224:ZNF432:ZNF550:ZNF134:BCS1L:ASB1:MTERFD2:FASTKD5:CDC42EP1:NOL12:ACO2:IL17RB:SLC30A9:GCNT4:SLC22A5:MED7:TRIM52:C6orf62:POLR1C:ZKSCAN5:CAV2:BPGM:NDUFB2:ZNF212:KANK1:TOPORS:APTX:ALDH1B1:TIMM8A:ARMCX5	http://www.gsea-msigdb.org/gsea/msigdb/cards/OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP
Chemical_and_Genetic_pertubation	MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_UP	167	34	0.0005661984122907717	0.016125545301932605	SLC2A1:AK4:TIMM17A:DUSP5:BNIP3:LDHA:RNF169:C11orf82:TPI1:C12orf75:AEN:SYNM:RNF126:RPS19:LRRFIP1:SALL4:GTSE1:HIGD1A:FAM162A:SNORA13:HSPA1B:KIFC1:VEGFA:FOXO3:TCTE3:GGCT:AGPAT5:TP53INP1:PTP4A3:NDUFB6:NR6A1:C9orf116:EIF2S3:EDA2R	http://www.gsea-msigdb.org/gsea/msigdb/cards/MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_UP
Chemical_and_Genetic_pertubation	KORKOLA_EMBRYONAL_CARCINOMA_UP	42	13	0.0005664940202980565	0.016125545301932605	AK4:CCND2:RAD51AP1:GAPDH:TPI1:EMG1:KLRD1:MAGOHB:ETV6:GPRC5A:RECQL:GOLT1B:KRAS	http://www.gsea-msigdb.org/gsea/msigdb/cards/KORKOLA_EMBRYONAL_CARCINOMA_UP
Chemical_and_Genetic_pertubation	SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN	585	93	0.0006165318039793654	0.017399897578973204	WASF2:THEMIS2:CMPK1:AK4:CRYZ:CTBS:DBT:CD53:CTSS:SLAMF1:DUSP12:ARPC5:TIMM17A:GPR137B:GDI2:PTER:GHITM:PTEN:DUSP5:PRDX3:PSMA1:PSMA1:PDHX:MRPL49:CLEC2D:CREBL2:TSPAN31:CTDSP2:GLIPR1:UBE2N:OAS2:RNASE6:PABPN1:GMFB:EXOC5:EIF2S1:MED6:TMED10:SEL1L:EIF5:RAB27A:TMED3:IL32:GDE1:PEX12:GOSR2:SP2:MRPS7:B4GALT6:EXOSC5:RHOQ:PCBP1:NCK2:SNRPB2:EIF2S2:SRSF6:CD40:CHKB:RPL15:ARF4:GPR15:MBD4:SIAH2:PPP1R2:CD38:RHOH:PDLIM5:CLCN3:SRD5A1:ST8SIA4:TNFAIP8:CSNK1A1:FARS2:MYLIP:ATXN1:BTN2A1:PSMB9:CD164:MARCKS:RPA3:STK17A:PSPH:CPSF4:TPK1:TRAM1:PKIA:SLC25A32:SLC1A1:SNAPC3:STOML2:ATP6V1G1:ARPC5L:RBM3:IDS:IDS	http://www.gsea-msigdb.org/gsea/msigdb/cards/SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN
Chemical_and_Genetic_pertubation	JIANG_HYPOXIA_VIA_VHL	19	8	0.0006748173507765705	0.01888344823952742	SLC3A2:RPLP0:GMFB:TRAPPC2L:PECR:MRPS6:TES:WBP5	http://www.gsea-msigdb.org/gsea/msigdb/cards/JIANG_HYPOXIA_VIA_VHL
Chemical_and_Genetic_pertubation	FISCHER_DREAM_TARGETS	966	143	0.0006816894119645676	0.01891544906140338	ATAD3B:APITD1:E2F2:SRSF10:CLIC4:STMN1:SNRNP40:CDKN2C:TXNDC12:HSPB11:ITGB3BP:PIGK:SLC16A1:RBM8A:HIST2H2BE:ANP32E:TSEN15:LBR:HNRNPU-AS1:HNRNPU:HNRNPF:ZWINT:HNRNPH3:SMNDC1:BUB3:SLC3A2:CDCA5:RAD9A:C11orf82:CREBZF:FOXM1:RHNO1:RAD51AP1:EMG1:MAGOHB:ALG10:TUBA1C:AAAS:YEATS4:NAP1L1:BTG1:C12orf65:HMGB1:MZT1:GPR180:PARP2:CDCA4:LCMT2:DUT:GABPB1:AEN:POLR3K:COQ7:CDR2:PLK1:ZNF267:ACD:MIS12:FAM64A:ELP5:NUFIP2:SLFN11:PIGW:PSMC3IP:SRSF1:SKA2:PRR11:KPNA2:TK1:METTL4:SKA1:ZNF714:ZNF724P:ZNF146:EXOSC5:PAFAH1B3:SLC1A5:BCL2L12:TMEM18:C2orf43:CENPA:SRSF7:FANCL:SLC1A4:CKAP2L:ARL6IP6:HNRNPA3:FKBP7:STK17B:C2orf69:NIF3L1:BCS1L:PCNA:MCM8:NXT1:MYBL2:UBE2C:ZNFX1:IFNAR1:NUP50:GTSE1:RFT1:ARL13B:CCDC14:RPL22L1:SMIM14:PAICS:HNRNPDL:HADH:EXOSC9:C4orf46:HMGB2:SAP30:BRIX1:DEPDC1B:DHFR:LYRM7:C5orf24:MXD3:HIST1H4A:HIST1H4H:HIST1H3H:MRPS18B:KIFC1:FANCE:CASP8AP2:MARCKS:NUP43:TWISTNB:HNRNPA2B1:CBX3:GGCT:LSM5:ZNF107:POP7:NAPEPLD:METTL2B:XRCC2:AGPAT5:GGH:TP53INP1:UBE2R2:C9orf40:CKS2	http://www.gsea-msigdb.org/gsea/msigdb/cards/FISCHER_DREAM_TARGETS
Chemical_and_Genetic_pertubation	SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP	484	79	0.0007006389083475509	0.019151044704464423	ATPIF1:SNRNP40:NDUFS5:B4GALT2:ENSA:FDPS:H3F3A:ARID4B:HNRNPU-AS1:HNRNPU:SRGN:PSMD13:B3GAT3:RTN3:FAU:DPF2:BANF1:UCP2:SPA17:CCND2:TUBA1A:RAB5B:NAP1L1:SACS:PABPC3:HMGB1:PSMB5:PSME2:FKBP3:ERH:CALM1:SRP14:PPIB:RPL4:TSPAN3:CYB5B:CFDP1:APRT:TAX1BP3:PFN1:C1QBP:RPL19:PSMC3IP:HEXIM1:TMC6:POLRMT:OAZ1:RPS28:ICAM3:PDCD5:ERCC1:RPS7:DBI:RPL37A:UBE2C:SNAP29:RRP7A:RAP2B:UGT2B17:HNRNPDL:RPL37:GTF2H2:TBCA:RPS23:PCDHGC3:TUBB2A:HLA-DOB:SRF:PTP4A1:PNRC1:HEBP2:HNRNPA2B1:ZP3:ZNF212:XRCC2:RGS20:CKS2:PIN4:GDI1:F8A1	http://www.gsea-msigdb.org/gsea/msigdb/cards/SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP
Chemical_and_Genetic_pertubation	PIEPOLI_LGI1_TARGETS_DN	15	7	0.0007017796514961222	0.019151044704464423	FUT4:KLRC1:ZNF266:TNNI3:ID2:GTF2H2:CHRNA6	http://www.gsea-msigdb.org/gsea/msigdb/cards/PIEPOLI_LGI1_TARGETS_DN
Chemical_and_Genetic_pertubation	SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	457	75	0.0008044564904287327	0.0217730764868498	CORT:AGMAT:STMN1:PSMB2:SLC2A1:CDKN2C:AK4:LRIF1:SLC16A1:NRAS:IL2RA:ZNF248:ZWINT:UBE2D1:PPIF:SCD:SMNDC1:BUB3:OR7E12P:MTCH2:FOXM1:RAD51AP1:GAPDH:KLRC1:MAGOHB:RECQL:GOLT1B:NABP2:YEATS4:UBE2N:GMFB:GCH1:GABPB1:SNRPA1:ACD:FAM64A:HEXIM1:KPNA2:TK1:SKA1:MFSD12:CENPA:PPM1G:TPRKB:DGUOK:MOB1A:MRPL19:GCFC2:TUBA4A:TUBA4B:PCNA:MYBL2:UBE2C:RAB22A:PSMA7:MIF:GTSE1:TRMU:NAA50:PTTG2:PAICS:ELOVL6:HMGB2:SAP30:SRD5A1:VEGFA:C6orf120:RALA:AGPAT5:RGS20:GGH:CDKN2A:CKS2:TMEM38B:TIMM8A	http://www.gsea-msigdb.org/gsea/msigdb/cards/SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6
Chemical_and_Genetic_pertubation	KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP	680	105	0.0008166738964511505	0.02192404232586747	CLSTN1:SNRNP40:UQCRH:TMEM59:SF3B4:ENSA:FDPS:SYT11:PRDX6:VIM:RPS24:SHOC2:BUB3:UROS:TAF10:EIF3F:FAU:CFL1:DRAP1:TPI1:CSRNP2:RPL41:SLC25A3:ISCU:ERP29:SRSF9:CDK2AP1:AKAP11:UTP14C:SLITRK5:PSMB5:RPL36AL:GMFB:TMED10:MOAP1:SRP14:PDIA3:RPL4:TSPAN3:RPS17:RPS17L:ATP6V0C:C16orf45:CX3CL1:PFN1:SPAG7:C1QBP:LASP1:PSMC5:PRKAR1A:ATP5H:SUMO2:NPTX1:P4HB:STRA13:NARS:OAZ1:UQCRFS1:EIF3K:RPS19:PAFAH1B3:KCNF1:SLC1A4:DGUOK:HNRNPA3:TUBA4A:FKBP1A:LZTS3:MIF:RASL10A:NHP2L1:RPL32:RPL29:RPL24:NDUFB5:SLC30A9:SUB1:RPL37:COX7C:PJA2:HINT1:TUBB2A:ACOT13:PPP1R11:RPS18:RPL10A:EEF1A1:MARCKS:FABP7:RPS12:SCRN1:GGCT:COBL:DPY19L2P2:UQCRB:RPL8:RPS6:ISCA1:AUH:TMEM246:TUBB4B:TM4SF2:TSPAN7:PRAF2:RPS4X:CETN2:GDI1	http://www.gsea-msigdb.org/gsea/msigdb/cards/KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP
Chemical_and_Genetic_pertubation	COLLER_MYC_TARGETS_UP	24	9	0.0008545971126778521	0.022395953265613004	AK4:SLC16A1:PPIF:CCND2:C1QBP:EIF5A:CEBPZ:NAMPT:CKS2	http://www.gsea-msigdb.org/gsea/msigdb/cards/COLLER_MYC_TARGETS_UP
Chemical_and_Genetic_pertubation	PURBEY_TARGETS_OF_CTBP1_AND_SATB1_UP	77	19	0.0008563135791134888	0.022395953265613004	PSMA1:PSMA1:LDHA:NEAT1:PPP1CA:TUBA1A:RAD51D:TBXA2R:PCBP1:DGUOK:RPSA:RPL34:TBCA:PNISR:ACTB:COA1:RMDN1:RPS6:RPL7A:PDHA1	http://www.gsea-msigdb.org/gsea/msigdb/cards/PURBEY_TARGETS_OF_CTBP1_AND_SATB1_UP
Chemical_and_Genetic_pertubation	MALONEY_RESPONSE_TO_17AAG_DN	77	19	0.0008563135791134888	0.022395953265613004	RSU1:PRDX3:POLR2L:LDHA:TPI1:DYNLL1:RPL36AL:PLK1:EIF4A1:KPNA2:PDCD5:RPS16:SRSF7:UBE2C:PSMA7:ARF4:SEC62:SUB1:GM2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/MALONEY_RESPONSE_TO_17AAG_DN
